start reading files at Sun Dec  3 16:15:13 2023

omp_get_num_threads()=4
Invalid line in data file "TypeOutput				1	1	1	1
"
Invalid line in data file "
"
start initialization at Sun Dec  3 16:15:13 2023

N0a = 9.743096e-01, count=36
N0p = 5.500161e-01, count=8
line:1206 CellCount[DIM]: 35 12 1
line:1207 TotalCellCount: 420
line:1212 CellWidth[DIM]: 1.785714e-02 1.875000e-02 2.000000e-02
start main roop at Sun Dec  3 16:15:14 2023

@ Prof Output Time : 0.000000e+00
line:4564, iter,=123, rr0=,3.838726e+10, rr=,3.622274e-02, rs0=,1.462404e+02, rs=,7.570797e-12
line:4564, iter,=230, rr0=,9.248406e+13, rr=,9.164277e+01, rs0=,3.877282e+05, rs=,1.993198e-08
line:4564, iter,=230, rr0=,9.423392e+13, rr=,9.114492e+01, rs0=,3.950223e+05, rs=,1.986632e-08
line:4564, iter,=230, rr0=,9.599871e+13, rr=,9.070296e+01, rs0=,4.023764e+05, rs=,1.978234e-08
line:4564, iter,=230, rr0=,9.777847e+13, rr=,9.013748e+01, rs0=,4.097903e+05, rs=,1.968958e-08
line:4564, iter,=229, rr0=,9.957306e+13, rr=,9.813648e+01, rs0=,4.172630e+05, rs=,2.131944e-08
line:4564, iter,=229, rr0=,1.013824e+14, rr=,9.778584e+01, rs0=,4.247947e+05, rs=,2.126948e-08
line:4564, iter,=229, rr0=,1.032063e+14, rr=,9.751116e+01, rs0=,4.323842e+05, rs=,2.122521e-08
line:4564, iter,=229, rr0=,1.050449e+14, rr=,9.723960e+01, rs0=,4.400311e+05, rs=,2.118417e-08
line:4564, iter,=228, rr0=,1.068980e+14, rr=,1.063180e+02, rs0=,4.477349e+05, rs=,2.319162e-08
line:4564, iter,=228, rr0=,1.087655e+14, rr=,1.062607e+02, rs0=,4.554960e+05, rs=,2.319567e-08
line:4564, iter,=228, rr0=,1.106473e+14, rr=,1.062755e+02, rs0=,4.633156e+05, rs=,2.321324e-08
line:4564, iter,=228, rr0=,1.125435e+14, rr=,1.063005e+02, rs0=,4.711921e+05, rs=,2.323166e-08
